t,frame_index,timestamp,current_left_x,current_left_y,current_left_z,current_left_qx,current_left_qy,current_left_qz,current_left_qw,current_left_gripper,current_right_x,current_right_y,current_right_z,current_right_qx,current_right_qy,current_right_qz,current_right_qw,current_right_gripper,next_left_x,next_left_y,next_left_z,next_left_qx,next_left_qy,next_left_qz,next_left_qw,next_left_gripper,next_right_x,next_right_y,next_right_z,next_right_qx,next_right_qy,next_right_qz,next_right_qw,next_right_gripper
0,744,24.799999237060547,1.1036057472229004,1.1369922161102295,0.17872028052806854,0.0048278928734362125,0.44362789392471313,-1.2259557247161865,-0.6227232813835144,0.9371680021286011,0.6195269823074341,1.4932469129562378,0.31325897574424744,-0.19098518788814545,-0.3540237247943878,1.4615203142166138,-1.514080286026001,-0.558745265007019,1.336354374885559,1.1874064207077026,0.06818270683288574,0.13576142489910126,0.34467437863349915,-1.0513778924942017,-0.5933703780174255,0.8912625312805176,0.3998030424118042,1.4727911949157715,0.3843780755996704,-0.10045868158340454,-0.42108768224716187,1.3809913396835327,-1.3621608018875122,-0.5594760179519653
1,750,25.0,1.336354374885559,1.1874064207077026,0.06818270683288574,0.13576142489910126,0.34467437863349915,-1.0513778924942017,-0.5933703780174255,0.8912625312805176,0.3998030424118042,1.4727911949157715,0.3843780755996704,-0.10045868158340454,-0.42108768224716187,1.3809913396835327,-1.3621608018875122,-0.5594760179519653,1.5759028196334839,1.261429786682129,-0.045747581869363785,0.3231436312198639,0.14363686740398407,-0.8019447922706604,-0.6995337009429932,0.538446307182312,0.27579694986343384,1.429307222366333,0.4878539741039276,0.1304389238357544,-0.5939196944236755,1.1134653091430664,-1.0159015655517578,-0.5572837591171265
2,756,25.200000762939453,1.5759028196334839,1.261429786682129,-0.045747581869363785,0.3231436312198639,0.14363686740398407,-0.8019447922706604,-0.6995337009429932,0.538446307182312,0.27579694986343384,1.429307222366333,0.4878539741039276,0.1304389238357544,-0.5939196944236755,1.1134653091430664,-1.0159015655517578,-0.5572837591171265,1.8536055088043213,1.270819902420044,-0.15835973620414734,0.5231073498725891,-0.10578500479459763,-0.4253235161304474,-0.7753839492797852,0.1991831660270691,0.20703010261058807,1.2550350427627563,0.6125506162643433,0.4727075397968292,-0.6435057520866394,0.5018880367279053,-0.27309975028038025,-0.5580145120620728
3,762,25.399999618530273,1.8536055088043213,1.270819902420044,-0.15835973620414734,0.5231073498725891,-0.10578500479459763,-0.4253235161304474,-0.7753839492797852,0.1991831660270691,0.20703010261058807,1.2550350427627563,0.6125506162643433,0.4727075397968292,-0.6435057520866394,0.5018880367279053,-0.27309975028038025,-0.5580145120620728,1.9334821701049805,1.2627490758895874,-0.17435501515865326,0.5738096833229065,-0.18629871308803558,-0.3227749466896057,-0.8457189202308655,0.22497765719890594,0.3552079200744629,1.2375131845474243,0.6468766331672668,0.5856344699859619,-0.5084153413772583,0.005337574053555727,0.41648030281066895,-0.5697066187858582
4,768,25.600000381469727,1.9334821701049805,1.2627490758895874,-0.17435501515865326,0.5738096833229065,-0.18629871308803558,-0.3227749466896057,-0.8457189202308655,0.22497765719890594,0.3552079200744629,1.2375131845474243,0.6468766331672668,0.5856344699859619,-0.5084153413772583,0.005337574053555727,0.41648030281066895,-0.5697066187858582,1.9692676067352295,1.2646889686584473,-0.18083657324314117,0.5736638307571411,-0.19348947703838348,-0.3185442090034485,-0.8085895776748657,0.23547032475471497,0.5444030165672302,1.265857458114624,0.5088400840759277,0.5830541253089905,-0.29075974225997925,-0.25211301445961,0.8865740299224854,-0.5762833952903748
5,774,25.799999237060547,1.9692676067352295,1.2646889686584473,-0.18083657324314117,0.5736638307571411,-0.19348947703838348,-0.3185442090034485,-0.8085895776748657,0.23547032475471497,0.5444030165672302,1.265857458114624,0.5088400840759277,0.5830541253089905,-0.29075974225997925,-0.25211301445961,0.8865740299224854,-0.5762833952903748,2.0678162574768066,1.265734076499939,-0.20917123556137085,0.5732088088989258,-0.1868867725133896,-0.3100743889808655,-0.784305989742279,0.24071666598320007,0.5659111738204956,1.2820779085159302,0.40954893827438354,0.5696576237678528,-0.14620135724544525,-0.4028598666191101,1.1107386350631714,-0.5813987255096436
6,780,26.0,2.0678162574768066,1.265734076499939,-0.20917123556137085,0.5732088088989258,-0.1868867725133896,-0.3100743889808655,-0.784305989742279,0.24071666598320007,0.5659111738204956,1.2820779085159302,0.40954893827438354,0.5696576237678528,-0.14620135724544525,-0.4028598666191101,1.1107386350631714,-0.5813987255096436,2.1230199337005615,1.2671518325805664,-0.22509697079658508,0.5717466473579407,-0.17806632816791534,-0.30291759967803955,-0.7577499747276306,0.22016851603984833,0.6070219874382019,1.285194993019104,0.31703540682792664,0.5648730397224426,-0.053060028702020645,-0.43554380536079407,1.1815105676651,-0.579937219619751
7,786,26.200000762939453,2.1230199337005615,1.2671518325805664,-0.22509697079658508,0.5717466473579407,-0.17806632816791534,-0.30291759967803955,-0.7577499747276306,0.22016851603984833,0.6070219874382019,1.285194993019104,0.31703540682792664,0.5648730397224426,-0.053060028702020645,-0.43554380536079407,1.1815105676651,-0.579937219619751,2.1221868991851807,1.2681703567504883,-0.2243073731660843,0.5696038603782654,-0.17511804401874542,-0.30810999870300293,-0.755965530872345,0.21885693073272705,0.6249063611030579,1.2714029550552368,0.28772902488708496,0.5570424795150757,-0.029582597315311432,-0.4308633804321289,1.2162381410598755,-0.5828602313995361
8,792,26.399999618530273,2.1221868991851807,1.2681703567504883,-0.2243073731660843,0.5696038603782654,-0.17511804401874542,-0.30810999870300293,-0.755965530872345,0.21885693073272705,0.6249063611030579,1.2714029550552368,0.28772902488708496,0.5570424795150757,-0.029582597315311432,-0.4308633804321289,1.2162381410598755,-0.5828602313995361,2.1213345527648926,1.2679513692855835,-0.2235455960035324,0.5670431852340698,-0.17009328305721283,-0.31187254190444946,-0.7482256293296814,0.1983087658882141,0.6244257688522339,1.2707509994506836,0.2871793508529663,0.557601809501648,-0.02572617679834366,-0.4285292625427246,1.2145856618881226,-0.5813987255096436
9,798,26.600000381469727,2.1213345527648926,1.2679513692855835,-0.2235455960035324,0.5670431852340698,-0.17009328305721283,-0.31187254190444946,-0.7482256293296814,0.1983087658882141,0.6244257688522339,1.2707509994506836,0.2871793508529663,0.557601809501648,-0.02572617679834366,-0.4285292625427246,1.2145856618881226,-0.5813987255096436,2.121211528778076,1.2681845426559448,-0.22363653779029846,0.5666945576667786,-0.16808994114398956,-0.3104812204837799,-0.7430806159973145,0.1808209866285324,0.6187615990638733,1.2688205242156982,0.28278714418411255,0.5575892925262451,0.010018615983426571,-0.4295194447040558,1.22663414478302,-0.580668032169342
