t,frame_index,timestamp,current_left_x,current_left_y,current_left_z,current_left_qx,current_left_qy,current_left_qz,current_left_qw,current_left_gripper,current_right_x,current_right_y,current_right_z,current_right_qx,current_right_qy,current_right_qz,current_right_qw,current_right_gripper,next_left_x,next_left_y,next_left_z,next_left_qx,next_left_qy,next_left_qz,next_left_qw,next_left_gripper,next_right_x,next_right_y,next_right_z,next_right_qx,next_right_qy,next_right_qz,next_right_qw,next_right_gripper
0,1692,56.400001525878906,-1.0939942598342896,-0.26239311695098877,1.2537835836410522,0.11645156890153885,0.6785889267921448,-0.13094070553779602,0.8735129237174988,-0.7469064593315125,0.7094581127166748,-0.545778214931488,-0.31708335876464844,-2.5264980792999268,2.010010004043579,-2.30619478225708,-0.9642508029937744,-0.6347439289093018,-0.9953667521476746,-0.19686932861804962,1.2606465816497803,0.11884192377328873,0.6956361532211304,-0.10795242339372635,0.8677753806114197,-0.7495296001434326,0.7004815936088562,-0.6431238651275635,-0.418964684009552,-2.439157724380493,2.1428816318511963,-2.3273332118988037,-1.1173133850097656,-0.6340131759643555
1,1698,56.599998474121094,-0.9953667521476746,-0.19686932861804962,1.2606465816497803,0.11884192377328873,0.6956361532211304,-0.10795242339372635,0.8677753806114197,-0.7495296001434326,0.7004815936088562,-0.6431238651275635,-0.418964684009552,-2.439157724380493,2.1428816318511963,-2.3273332118988037,-1.1173133850097656,-0.6340131759643555,-0.9361832737922668,-0.11763419210910797,1.2725757360458374,0.12750358879566193,0.7005314230918884,-0.07108951359987259,0.8718104958534241,-0.7469064593315125,0.6537051796913147,-0.7452658414840698,-0.4687502384185791,-2.3956873416900635,2.2029950618743896,-2.3382580280303955,-1.2473475933074951,-0.6347439289093018
2,1704,56.79999923706055,-0.9361832737922668,-0.11763419210910797,1.2725757360458374,0.12750358879566193,0.7005314230918884,-0.07108951359987259,0.8718104958534241,-0.7469064593315125,0.6537051796913147,-0.7452658414840698,-0.4687502384185791,-2.3956873416900635,2.2029950618743896,-2.3382580280303955,-1.2473475933074951,-0.6347439289093018,-0.8135867714881897,-0.018362870439887047,1.2268725633621216,0.14059346914291382,0.7110322117805481,-0.0020601621363312006,0.8851775527000427,-0.7477808594703674,0.5283225774765015,-0.9054731726646423,-0.3119211196899414,-2.384005069732666,2.2045950889587402,-2.3512375354766846,-1.3075203895568848,-0.6332824230194092
3,1710,57.0,-0.8135867714881897,-0.018362870439887047,1.2268725633621216,0.14059346914291382,0.7110322117805481,-0.0020601621363312006,0.8851775527000427,-0.7477808594703674,0.5283225774765015,-0.9054731726646423,-0.3119211196899414,-2.384005069732666,2.2045950889587402,-2.3512375354766846,-1.3075203895568848,-0.6332824230194092,-0.6459131836891174,0.06619150191545486,1.140084981918335,0.15660922229290009,0.7390512228012085,0.07877971976995468,0.8709442615509033,-0.7486552000045776,0.4158693253993988,-1.0465173721313477,-0.12225161492824554,-2.389616012573242,2.196042776107788,-2.3531880378723145,-1.3607679605484009,-0.6405900120735168
4,1716,57.20000076293945,-0.6459131836891174,0.06619150191545486,1.140084981918335,0.15660922229290009,0.7390512228012085,0.07877971976995468,0.8709442615509033,-0.7486552000045776,0.4158693253993988,-1.0465173721313477,-0.12225161492824554,-2.389616012573242,2.196042776107788,-2.3531880378723145,-1.3607679605484009,-0.6405900120735168,-0.4645136892795563,0.17566466331481934,1.0530128479003906,0.18242061138153076,0.749398410320282,0.18289311230182648,0.861617386341095,-0.7508412003517151,0.3518216907978058,-1.1967438459396362,-0.008991816081106663,-2.397731304168701,2.2021870613098145,-2.3418526649475098,-1.4032254219055176,-0.6405900120735168
5,1722,57.400001525878906,-0.4645136892795563,0.17566466331481934,1.0530128479003906,0.18242061138153076,0.749398410320282,0.18289311230182648,0.861617386341095,-0.7508412003517151,0.3518216907978058,-1.1967438459396362,-0.008991816081106663,-2.397731304168701,2.2021870613098145,-2.3418526649475098,-1.4032254219055176,-0.6405900120735168,-0.30580997467041016,0.2807696759700775,0.9731926321983337,0.2401903122663498,0.7307234406471252,0.34278592467308044,0.8088910579681396,-0.7508412003517151,0.3136026859283447,-1.2862249612808228,0.040482617914676666,-2.406309127807617,2.210484027862549,-2.328056573867798,-1.4423454999923706,-0.6340131759643555
6,1728,57.599998474121094,-0.30580997467041016,0.2807696759700775,0.9731926321983337,0.2401903122663498,0.7307234406471252,0.34278592467308044,0.8088910579681396,-0.7508412003517151,0.3136026859283447,-1.2862249612808228,0.040482617914676666,-2.406309127807617,2.210484027862549,-2.328056573867798,-1.4423454999923706,-0.6340131759643555,-0.23830337822437286,0.34300923347473145,0.9440652132034302,0.29498693346977234,0.6620311737060547,0.4938737750053406,0.8042819499969482,-0.7473436594009399,0.26890885829925537,-1.3525869846343994,0.11008362472057343,-2.4082233905792236,2.2101330757141113,-2.3268625736236572,-1.4925156831741333,-0.635474681854248
7,1734,57.79999923706055,-0.23830337822437286,0.34300923347473145,0.9440652132034302,0.29498693346977234,0.6620311737060547,0.4938737750053406,0.8042819499969482,-0.7473436594009399,0.26890885829925537,-1.3525869846343994,0.11008362472057343,-2.4082233905792236,2.2101330757141113,-2.3268625736236572,-1.4925156831741333,-0.635474681854248,-0.2217814326286316,0.3845561146736145,0.9110410809516907,0.34269917011260986,0.60282963514328,0.6244127154350281,0.7755502462387085,-0.7482180595397949,0.20675630867481232,-1.4183388948440552,0.19421984255313873,-0.05515008419752121,-1.479508399963379,0.8852719664573669,-1.5274324417114258,-0.6347439289093018
8,1740,58.0,-0.2217814326286316,0.3845561146736145,0.9110410809516907,0.34269917011260986,0.60282963514328,0.6244127154350281,0.7755502462387085,-0.7482180595397949,0.20675630867481232,-1.4183388948440552,0.19421984255313873,-0.05515008419752121,-1.479508399963379,0.8852719664573669,-1.5274324417114258,-0.6347439289093018,-0.21830518543720245,0.4285716712474823,0.8817285299301147,0.38875648379325867,0.5483053922653198,0.7386866211891174,0.7173541784286499,-0.7482180595397949,0.16894160211086273,-1.4595521688461304,0.2427556812763214,-0.04311111196875572,-1.4751458168029785,0.8756187558174133,-1.4788331985473633,-0.635474681854248
9,1746,58.20000076293945,-0.21830518543720245,0.4285716712474823,0.8817285299301147,0.38875648379325867,0.5483053922653198,0.7386866211891174,0.7173541784286499,-0.7482180595397949,0.16894160211086273,-1.4595521688461304,0.2427556812763214,-0.04311111196875572,-1.4751458168029785,0.8756187558174133,-1.4788331985473633,-0.635474681854248,-0.21412333846092224,0.47082799673080444,0.858869731426239,0.424715131521225,0.504336953163147,0.8372595310211182,0.664036214351654,-0.7486552000045776,0.1598542332649231,-1.5025906562805176,0.25693050026893616,-0.04441538453102112,-1.477293610572815,0.8751916885375977,-1.4529128074645996,-0.6347439289093018
