t,frame_index,timestamp,current_left_x,current_left_y,current_left_z,current_left_qx,current_left_qy,current_left_qz,current_left_qw,current_left_gripper,current_right_x,current_right_y,current_right_z,current_right_qx,current_right_qy,current_right_qz,current_right_qw,current_right_gripper,next_left_x,next_left_y,next_left_z,next_left_qx,next_left_qy,next_left_qz,next_left_qw,next_left_gripper,next_right_x,next_right_y,next_right_z,next_right_qx,next_right_qy,next_right_qz,next_right_qw,next_right_gripper
0,1692,56.400001525878906,-0.0873146653175354,-0.06563103944063187,-0.12383981794118881,0.6703100800514221,0.4649644196033478,-0.3679458498954773,0.44621554017066956,-0.31313052773475647,0.10667510330677032,-0.03400425985455513,-0.1530856490135193,-0.5966836810112,0.499986469745636,-0.6176407337188721,0.11181242018938065,-0.043449513614177704,-0.0858660340309143,-0.06454309821128845,-0.12374423444271088,0.6713064312934875,0.4690214991569519,-0.36218810081481934,0.4451811909675598,-0.31411057710647583,0.1064813882112503,-0.03547538071870804,-0.1542567014694214,-0.5564102530479431,0.5403821468353271,-0.6258715391159058,0.08172857016324997,-0.043286170810461044
1,1698,56.599998474121094,-0.0858660340309143,-0.06454309821128845,-0.12374423444271088,0.6713064312934875,0.4690214991569519,-0.36218810081481934,0.4451811909675598,-0.31411057710647583,0.1064813882112503,-0.03547538071870804,-0.1542567014694214,-0.5564102530479431,0.5403821468353271,-0.6258715391159058,0.08172857016324997,-0.043286170810461044,-0.08499675244092941,-0.06322749704122543,-0.12357809394598007,0.6749168038368225,0.4701865315437317,-0.35295525193214417,0.44590863585472107,-0.31313052773475647,0.10547194629907608,-0.03701898455619812,-0.15482895076274872,-0.5363657474517822,0.5586578845977783,-0.6301253437995911,0.05617086589336395,-0.043449513614177704
2,1704,56.79999923706055,-0.08499675244092941,-0.06322749704122543,-0.12357809394598007,0.6749168038368225,0.4701865315437317,-0.35295525193214417,0.44590863585472107,-0.31313052773475647,0.10547194629907608,-0.03701898455619812,-0.15482895076274872,-0.5363657474517822,0.5586578845977783,-0.6301253437995911,0.05617086589336395,-0.043449513614177704,-0.08319606631994247,-0.06157921999692917,-0.12421461939811707,0.680372953414917,0.47268563508987427,-0.33566585183143616,0.44831839203834534,-0.3134572207927704,0.10276617109775543,-0.0394400916993618,-0.15302631258964539,-0.5309788584709167,0.5591443181037903,-0.6351792216300964,0.04434414207935333,-0.043122824281454086
3,1710,57.0,-0.08319606631994247,-0.06157921999692917,-0.12421461939811707,0.680372953414917,0.47268563508987427,-0.33566585183143616,0.44831839203834534,-0.3134572207927704,0.10276617109775543,-0.0394400916993618,-0.15302631258964539,-0.5309788584709167,0.5591443181037903,-0.6351792216300964,0.04434414207935333,-0.043122824281454086,-0.0807332918047905,-0.060175299644470215,-0.1254233419895172,0.6870486736297607,0.4793539047241211,-0.3154183328151703,0.44575247168540955,-0.3137838840484619,0.10033941268920898,-0.04157159850001335,-0.1508461982011795,-0.5335660576820374,0.5565442442893982,-0.6359387040138245,0.033878546208143234,-0.044756267219781876
4,1716,57.20000076293945,-0.0807332918047905,-0.060175299644470215,-0.1254233419895172,0.6870486736297607,0.4793539047241211,-0.3154183328151703,0.44575247168540955,-0.3137838840484619,0.10033941268920898,-0.04157159850001335,-0.1508461982011795,-0.5335660576820374,0.5565442442893982,-0.6359387040138245,0.033878546208143234,-0.044756267219781876,-0.07806891202926636,-0.05835763365030289,-0.12663602828979492,0.6978074312210083,0.48181644082069397,-0.28934162855148315,0.44407105445861816,-0.3146006166934967,0.09895725548267365,-0.04384187236428261,-0.149544358253479,-0.5373081564903259,0.5584122538566589,-0.6315249800682068,0.025533661246299744,-0.044756267219781876
5,1722,57.400001525878906,-0.07806891202926636,-0.05835763365030289,-0.12663602828979492,0.6978074312210083,0.48181644082069397,-0.28934162855148315,0.44407105445861816,-0.3146006166934967,0.09895725548267365,-0.04384187236428261,-0.149544358253479,-0.5373081564903259,0.5584122538566589,-0.6315249800682068,0.025533661246299744,-0.044756267219781876,-0.07573788613080978,-0.056612495332956314,-0.12774771451950073,0.7218871116638184,0.4773719608783722,-0.24929416179656982,0.4345657527446747,-0.3146006166934967,0.09813248366117477,-0.04519414156675339,-0.1489756852388382,-0.5412634015083313,0.5609346628189087,-0.6261531710624695,0.017844799906015396,-0.043286170810461044
6,1728,57.599998474121094,-0.07573788613080978,-0.056612495332956314,-0.12774771451950073,0.7218871116638184,0.4773719608783722,-0.24929416179656982,0.4345657527446747,-0.3146006166934967,0.09813248366117477,-0.04519414156675339,-0.1489756852388382,-0.5412634015083313,0.5609346628189087,-0.6261531710624695,0.017844799906015396,-0.043286170810461044,-0.07474635541439056,-0.055579084903001785,-0.12815338373184204,0.7447275519371033,0.46102380752563477,-0.21145202219486237,0.43373483419418335,-0.3132938742637634,0.0971679836511612,-0.04619702696800232,-0.1481756716966629,-0.5421461462974548,0.5608279705047607,-0.6256882548332214,0.007984032854437828,-0.04361285641789436
7,1734,57.79999923706055,-0.07474635541439056,-0.055579084903001785,-0.12815338373184204,0.7447275519371033,0.46102380752563477,-0.21145202219486237,0.43373483419418335,-0.3132938742637634,0.0971679836511612,-0.04619702696800232,-0.1481756716966629,-0.5421461462974548,0.5608279705047607,-0.6256882548332214,0.007984032854437828,-0.04361285641789436,-0.07450368255376816,-0.0548892505466938,-0.12861332297325134,0.7646150588989258,0.44693437218666077,-0.17875665426254272,0.4285551905632019,-0.31362056732177734,0.09582672268152237,-0.04719069227576256,-0.1472085863351822,0.5428772568702698,-0.5608985424041748,0.6250406503677368,0.0011212852550670505,-0.043449513614177704
8,1740,58.0,-0.07450368255376816,-0.0548892505466938,-0.12861332297325134,0.7646150588989258,0.44693437218666077,-0.17875665426254272,0.4285551905632019,-0.31362056732177734,0.09582672268152237,-0.04719069227576256,-0.1472085863351822,0.5428772568702698,-0.5608985424041748,0.6250406503677368,0.0011212852550670505,-0.043449513614177704,-0.07445262372493744,-0.05415842682123184,-0.1290215700864792,0.7838127613067627,0.4339580833911896,-0.1501350998878479,0.41806381940841675,-0.31362056732177734,0.0950106754899025,-0.04781351983547211,-0.14665070176124573,0.5484285354614258,-0.5595722198486328,0.6212819218635559,0.010673279874026775,-0.04361285641789436
9,1746,58.20000076293945,-0.07445262372493744,-0.05415842682123184,-0.1290215700864792,0.7838127613067627,0.4339580833911896,-0.1501350998878479,0.41806381940841675,-0.31362056732177734,0.0950106754899025,-0.04781351983547211,-0.14665070176124573,0.5484285354614258,-0.5595722198486328,0.6212819218635559,0.010673279874026775,-0.04361285641789436,-0.0743912011384964,-0.05345681309700012,-0.12933993339538574,0.7988011240959167,0.42349398136138916,-0.12544609606266022,0.4084518551826477,-0.3137838840484619,0.09481456875801086,-0.048463933169841766,-0.1464877724647522,0.5478271245956421,-0.5602251887321472,0.6211156249046326,0.01576780527830124,-0.043449513614177704
